Year,Rebuild_year,Mobile_fleet_F,SSB,P_overfishing,P_overfish,OFL,ABC,SSB_over_SSBmsy,P_rebuild,P_closure,shortname
2020,*,0.243,56375,0.002,0.999,?,?,0.21,0,0.005,ABC CR
2021,*,0.119,48760,0,0.918,23424,9483,0.181,0.017,0.066,ABC CR
2022,1*,0.088,45876,0,0.893,26283,8722,0.171,0.031,0.115,ABC CR
2023,2,0.077,130736,0,0.521,44660,11036,0.486,0.097,0.001,ABC CR
2024,3,0.419,206057,0.29,0.174,69575,56070,0.766,0.274,0,ABC CR
2025,4,0.434,250790,0.323,0.06,85649,70950,0.932,0.428,0,ABC CR
2026,5,0.434,274581,0.321,0.024,97048,80407,1.021,0.525,0,ABC CR
2027,6,0.434,284774,0.321,0.014,105158,87217,1.059,0.569,0,ABC CR
2028,7,0.434,289764,0.322,0.01,108837,90302,1.077,0.594,0,ABC CR
2029,8,0.434,291899,0.321,0.009,110165,91422,1.085,0.603,0,ABC CR
2030,9,0.434,293070,0.321,0.008,110776,91942,1.089,0.605,0,ABC CR
2031,10,0.434,293119,0.321,0.008,110964,92089,1.09,0.609,0,ABC CR
2032,11,0.434,293798,0.322,0.008,111186,92298,1.092,0.61,0,ABC CR
2020,*,0.243,56376,0.002,0.999,?,?,0.21,0,0.005,ABC CR AR
2021,*,0.119,48572,0,0.918,23348,9483,0.181,0.017,0.067,ABC CR AR
2022,1*,0.101,44799,0,0.89,23339,8722,0.167,0.031,0.157,ABC CR AR
2023,2,0.072,79407,0,0.778,31932,8832,0.295,0.046,0.028,ABC CR AR
2024,3,0.212,133074,0.071,0.506,47277,22655,0.495,0.138,0.004,ABC CR AR
2025,4,0.429,174436,0.37,0.338,63871,52662,0.648,0.248,0.001,ABC CR AR
2026,5,0.434,208073,0.381,0.242,75371,62615,0.774,0.343,0,ABC CR AR
2027,6,0.434,233899,0.388,0.186,85900,71311,0.87,0.412,0,ABC CR AR
2028,7,0.434,251533,0.391,0.151,93962,78019,0.935,0.456,0,ABC CR AR
2029,8,0.434,263024,0.391,0.132,99541,82609,0.978,0.486,0,ABC CR AR
2030,9,0.434,270142,0.39,0.121,103191,85690,1.004,0.503,0,ABC CR AR
2031,10,0.434,275483,0.388,0.114,105627,87708,1.024,0.516,0,ABC CR AR
