alternative,sensitivity_shorthand,folder,filename,markin,recruitment_type,recruitment_belief
F40 ABC CR,BASE,F40_ABC_CR_10YRFIXED_REBUILD_2BRG,RUN_F40_ABC_CR_MULTI_10YRFIXED_REB212.xx6,1,AVG,AVG
F40 ABC CR,AVG in AR,F40_ABC_CR_AVG_IN_AR,RUN_F40_ABC_CR_AVG_IN_AR13BMY.xx6,1,AR,AVG
F40 ABC CR,AR in AVG,F40_ABC_CR_AR_IN_AVG,RUN_F40_ABC_CR_AR_IN_AVG13BMY.xx6,1,AVG,AR
F40 ABC CR,AR,F40_ABC_CR_10YRFIXED_REBUILD_AR_2BRG,RUN_F40_ABC_CR_MULTI_10YRFIXED_REB_AR212.xx6,1,AR,AR
Constant Seven Year,BASE,F_CONSTANT_SEVENYR_REBUILD_3BRG,FCONSTANT_7YRREB_3STG12BMY.xx6,1,AVG,AVG
Constant Seven Year,AVG in AR,F_CONSTANT_SEVENYR_REB_AVG_IN_AR_3BRG,FCONSTANT_7YRREB_AVG_IN_AR_3BRG13BMY.xx6,1,AR,AVG
Constant Seven Year,AR in AVG,F_CONSTANT_SEVENYR_REB_AR_IN_AVG_3BRG,FCONSTANT_7YRREB_AR_IN_AVG_3BRG13BMY.xx6,1,AVG,AR
Constant Seven Year,AR,F_CONSTANT_SEVENYR_REBUILD_3BRG_AR,FCONSTANT_7YRREB_3STG_AR12BMY.xx6,1,AR,AR
F40 ABC CR,AVG in AR,F40_ABC_CR_AVG_IN_AR,RUN_F40_ABC_CR_AVG_IN_AR13.xx6,0,AR,AVG
F40 ABC CR,AR in AVG,F40_ABC_CR_AR_IN_AVG,RUN_F40_ABC_CR_AR_IN_AVG13.xx6,0,AVG,AR
F40 ABC CR,AR in AVG,F40_ABC_CR_AR_IN_AVG_3BRG,RUN_F40_ABC_CR_AR_IN_AVG_3BRG13BMY.xx6,0,AVG,AR
F40 ABC CR,AR in AVG,F40_ABC_CR_AR_IN_AVG_3BRG,RUN_F40_ABC_CR_AR_IN_AVG_3BRG13.xx6,0,AVG,AR
F40 ABC CR,AR,F40_ABC_CR_10YRFIXED_REBUILD_AR_3BRG,RUN_F40_ABC_CR_MULTI_10YRFIXED_AR_3BRG12.xx6,0,AR,AR
F Zero,BASE,F_ZERO_10YRFIXED_REBUILD_2BRG,RUN_F_ZERO_MULTI_10YRFIXED_REB212.xx6,0,AVG,AVG
F Zero,BASE,F_ZERO_10YRFIXED_REBUILD_STAGE,RUN_F_ZERO_MULTI_10YRFIXED_REBSTG12.xx6,0,AVG,AVG
F Zero,AR,F_ZERO_10YRFIXED_REBUILD_AR_2BRG,RUN_F_ZERO_MULTI_10YRFIXED_REB_AR212.xx6,0,AR,AR
F Zero,AR,F_ZERO_10YRFIXED_REBUILD_AR_STAGE,RUN_F_ZERO_MULTI_10YRFIXED_REB_STG12.xx6,0,AR,AR
Constant Seven Year,BASE,F_CONSTANT_SEVENYR_REBUILD_2BRG,RUN_FCONSTANT_7YRREB_10YRFIXED_REB_212.xx6,0,AVG,AVG
Constant Seven Year,BASE,F_CONSTANT_SEVENYR_REBUILD_3BRG,FCONSTANT_7YRREB_3BRG12.xx6,0,AVG,AVG
Constant Seven Year,BASE,F_CONSTANT_SEVENYR_REBUILD_3BRG,FCONSTANT_7YRREB_3STG12.xx6,0,AVG,AVG
Constant Seven Year,BASE,F_CONSTANT_SEVENYR_REBUILD_STAGE,RUN_FCONSTANT_7YRREB_10YRFIXED_REB_STG12.xx6,0,AVG,AVG
Constant Seven Year,AVG in AR,F_CONSTANT_SEVENYR_REB_AVG_IN_AR,RUN_FCONSTANT_7YRREB_AVG_IN_AR13.xx6,0,AR,AVG
Constant Seven Year,AVG in AR,F_CONSTANT_SEVENYR_REB_AVG_IN_AR_3BRG,FCONSTANT_7YRREB_AVG_IN_AR_3BRG13.xx6,0,AR,AVG
Constant Seven Year,AR in AVG,F_CONSTANT_SEVENYR_REB_AR_IN_AVG,RUN_FCONSTANT_7YRREB_AR_IN_AVG13.xx6,0,AVG,AR
Constant Seven Year,AR in AVG,F_CONSTANT_SEVENYR_REB_AR_IN_AVG_3BRG,FCONSTANT_7YRREB_AR_IN_AVG_3BRG13.xx6,0,AVG,AR
Constant Seven Year,AR,F_CONSTANT_SEVENYR_REBUILD_3BRG_AR,FCONSTANT_7YRREB_3STG_AR12.xx6,0,AR,AR
Constant Seven Year,AR,F_CONSTANT_SEVENYR_REBUILD_3BRG_AR,FCONSTANT_7YRREB_3BRG_AR12.xx6,0,AR,AR
Constant Seven Year,AR,F_CONSTANT_SEVENYR_REBUILD_AR_2BRG,RUN_FCONSTANT_7YRREB_10YRFIXED_REB_AR212.xx6,0,AR,AR
Constant Seven Year,AR,F_CONSTANT_SEVENYR_REBUILD_AR_STAGE,RUN_FCONSTANT_7YRREB_10YRFIXED_REB_ARSTG12.xx6,0,AR,AR
